"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"90","Isiah Pacheco",KC,"RB39","3 out of 5 stars","2 out of 5 stars","-66"
"91","Tucker Kraft",GB,"TE8","3 out of 5 stars","4 out of 5 stars","+215"
"92","Jakobi Meyers",LV,"WR37","4 out of 5 stars","4 out of 5 stars","+45"
"93","Tyler Allgeier",ATL,"RB40","3 out of 5 stars","5 out of 5 stars","+48"
"94","Cedric Tillman",CLE,"WR38","3 out of 5 stars","3 out of 5 stars","-"
"95","Calvin Ridley",TEN,"WR39","4 out of 5 stars","4 out of 5 stars","-15"
"96","Kyle Pitts",ATL,"TE9","3 out of 5 stars","3 out of 5 stars","-32"
"97","Xavier Worthy",KC,"WR40","4 out of 5 stars","3 out of 5 stars","-15"
"98","Kirk Cousins",ATL,"QB9","3 out of 5 stars","4 out of 5 stars","+37"
"99","Diontae Johnson",BAL,"WR41","3 out of 5 stars","3 out of 5 stars","-13"
"100","Courtland Sutton",DEN,"WR42","4 out of 5 stars","4 out of 5 stars","+10"
"101","Austin Ekeler",WAS,"RB41","4 out of 5 stars","4 out of 5 stars","-8"
"102","Jake Ferguson",DAL,"TE10","2 out of 5 stars","3 out of 5 stars","-19"
"103","Braelon Allen",NYJ,"RB42","4 out of 5 stars","3 out of 5 stars","+65"
"104","Jared Goff",DET,"QB10","3 out of 5 stars","1 out of 5 stars","+7"
"105","Raheem Mostert",MIA,"RB43","3 out of 5 stars","3 out of 5 stars","-29"
"106","Patrick Mahomes II",KC,"QB11","3 out of 5 stars","3 out of 5 stars","-75"
"107","Ray Davis",BUF,"RB44","2 out of 5 stars","3 out of 5 stars","+50"
"108","C.J. Stroud",HOU,"QB12","3 out of 5 stars","3 out of 5 stars","-57"
"109","Zach Charbonnet",SEA,"RB45","2 out of 5 stars","2 out of 5 stars","+18"
"110","Sam Darnold",MIN,"QB13","3 out of 5 stars","2 out of 5 stars","+100"
"111","Matthew Stafford",LAR,"QB14","2 out of 5 stars","2 out of 5 stars","+35"
"112","Baker Mayfield",TB,"QB15","5 out of 5 stars","5 out of 5 stars","+46"
"113","Sam LaPorta",DET,"TE11","4 out of 5 stars","3 out of 5 stars","-83"
"114","Rome Odunze",CHI,"WR43","2 out of 5 stars","2 out of 5 stars","-25"
"115","Romeo Doubs",GB,"WR44","2 out of 5 stars","3 out of 5 stars","+4"
"116","Jordan Addison",MIN,"WR45","3 out of 5 stars","2 out of 5 stars","-15"
"117","Tua Tagovailoa",MIA,"QB16","3 out of 5 stars","3 out of 5 stars","-10"
"118","Jauan Jennings",SF,"WR46","2 out of 5 stars","2 out of 5 stars","-"
"119","Keon Coleman",BUF,"WR47","3 out of 5 stars","2 out of 5 stars","-11"
"120","Christian Watson",GB,"WR48","2 out of 5 stars","3 out of 5 stars","-22"
"121","Devin Singletary",NYG,"RB46","4 out of 5 stars","2 out of 5 stars","-37"
"122","Bo Nix",DEN,"QB17","4 out of 5 stars","4 out of 5 stars","+70"
"123","Michael Pittman Jr.",IND,"WR49","3 out of 5 stars","3 out of 5 stars","-88"
"124","Jerry Jeudy",CLE,"WR50","3 out of 5 stars","3 out of 5 stars","+14"
"125","Mark Andrews",BAL,"TE12","3 out of 5 stars","4 out of 5 stars","-75"
"126","Roschon Johnson",CHI,"RB47","3 out of 5 stars","2 out of 5 stars","+90"
"127","Jaylen Wright",MIA,"RB48","3 out of 5 stars","3 out of 5 stars","+13"
"128","Kimani Vidal",LAC,"RB49","2 out of 5 stars","3 out of 5 stars","+34"
"129","Taysom Hill",NO,"TE13","3 out of 5 stars","3 out of 5 stars","+19"
"130","Xavier Legette",CAR,"WR51","3 out of 5 stars","4 out of 5 stars","+31"
"131","Tyjae Spears",TEN,"RB50","1 out of 5 stars","3 out of 5 stars","-27"
"132","Justice Hill",BAL,"RB51","2 out of 5 stars","2 out of 5 stars","+95"
"133","Dalton Kincaid",BUF,"TE14","3 out of 5 stars","3 out of 5 stars","-84"
"134","Jaleel McLaughlin",DEN,"RB52","2 out of 5 stars","1 out of 5 stars","+10"
"135","Caleb Williams",CHI,"QB18","2 out of 5 stars","2 out of 5 stars","-39"
"136","Blake Corum",LAR,"RB53","5 out of 5 stars","3 out of 5 stars","-20"
"137","Trey Benson",ARI,"RB54","4 out of 5 stars","5 out of 5 stars","-22"
"138","Keenan Allen",CHI,"WR52","2 out of 5 stars","2 out of 5 stars","-65"
"139","Aaron Rodgers",NYJ,"QB19","4 out of 5 stars","4 out of 5 stars","0"
"140","Jerome Ford",CLE,"RB55","3 out of 5 stars","3 out of 5 stars","-37"
"141","Jalen McMillan",TB,"WR53","4 out of 5 stars","3 out of 5 stars","+93"
"142","Tyler Lockett",SEA,"WR54","3 out of 5 stars","2 out of 5 stars","-8"
"143","Wan'Dale Robinson",NYG,"WR55","4 out of 5 stars","4 out of 5 stars","+74"
"144","Jameis Winston",CLE,"QB20","1 out of 5 stars","3 out of 5 stars","-"
"145","Geno Smith",SEA,"QB21","1 out of 5 stars","2 out of 5 stars","+34"
"146","Quentin Johnston",LAC,"WR56","3 out of 5 stars","4 out of 5 stars","+41"
"147","Justin Herbert",LAC,"QB22","3 out of 5 stars","3 out of 5 stars","-22"
"148","Ricky Pearsall",SF,"WR57","2 out of 5 stars","2 out of 5 stars","+73"
