"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"302","Nick Westbrook-Ikhine",TEN,"WR95","4 out of 5 stars","4 out of 5 stars","-"
"303","Cooper Rush",DAL,"QB36","4 out of 5 stars","4 out of 5 stars","-"
"304","Sione Vaki",DET,"RB91","3 out of 5 stars","5 out of 5 stars","-"
"305","Curtis Samuel",BUF,"WR96","3 out of 5 stars","2 out of 5 stars","-184"
"306","Chig Okonkwo",TEN,"TE33","3 out of 5 stars","4 out of 5 stars","-111"
"307","Tim Patrick",DET,"WR97","3 out of 5 stars","3 out of 5 stars","-"
"308","Noah Gray",KC,"TE34","3 out of 5 stars","3 out of 5 stars","-"
"309","Jahan Dotson",PHI,"WR98","3 out of 5 stars","3 out of 5 stars","-120"
"310","Jeff Wilson Jr.",MIA,"RB92","3 out of 5 stars","3 out of 5 stars","+18"
"311","Rasheen Ali",BAL,"RB93","2 out of 5 stars","2 out of 5 stars","+12"
"312","Josh Reynolds",DEN,"WR99","4 out of 5 stars","4 out of 5 stars","+20"
"313","Cedrick Wilson Jr.",NO,"WR100","3 out of 5 stars","3 out of 5 stars","-"
"314","Dylan Laube",LV,"RB94","3 out of 5 stars","4 out of 5 stars","-52"
"315","Andy Dalton",CAR,"QB37","3 out of 5 stars","4 out of 5 stars","-"
"316","Xavier Hutchinson",HOU,"WR101","3 out of 5 stars","3 out of 5 stars","-"
"317","Jermaine Burton",CIN,"WR102","3 out of 5 stars","3 out of 5 stars","-110"
"318","Brandon McManus",GB,"K24","3 out of 5 stars","2 out of 5 stars","-"
"319","John Metchie III",HOU,"WR103","3 out of 5 stars","3 out of 5 stars","-"
"320","Washington Commanders",WAS,"DST28","4 out of 5 stars","4 out of 5 stars","-70"
"321","New England Patriots",NE,"DST29","2 out of 5 stars","1 out of 5 stars","-29"
"322","Jonathan Mingo",DAL,"WR104","2 out of 5 stars","2 out of 5 stars","-5"
"323","Deuce Vaughn",DAL,"RB95","4 out of 5 stars","4 out of 5 stars","-10"
"324","Ronnie Rivers",LAR,"RB96","5 out of 5 stars","3 out of 5 stars","-"
"325","Kendall Milton",CIN,"RB97","2 out of 5 stars","3 out of 5 stars","-"
"326","K.J. Osborn",NE,"WR105","4 out of 5 stars","5 out of 5 stars","+1"
"327","Kalif Raymond",DET,"WR106","3 out of 5 stars","3 out of 5 stars","-"
"328","Ameer Abdullah",LV,"RB98","3 out of 5 stars","4 out of 5 stars","-"
"329","Blake Watson",DEN,"RB99","2 out of 5 stars","1 out of 5 stars","-"
"330","Davis Allen",LAR,"TE35","2 out of 5 stars","2 out of 5 stars","-"
"331","Greg Zuerlein",NYJ,"K25","4 out of 5 stars","3 out of 5 stars","-50"
"332","Michael Penix Jr.",ATL,"QB38","3 out of 5 stars","4 out of 5 stars","-48"
"333","Justin Watson",KC,"WR107","4 out of 5 stars","3 out of 5 stars","-"
"334","AJ Barner",SEA,"TE36","2 out of 5 stars","4 out of 5 stars","-"
"335","Kendrick Bourne",NE,"WR108","4 out of 5 stars","5 out of 5 stars","-31"
"336","Malik Willis",GB,"QB39","1 out of 5 stars","2 out of 5 stars","-"
"337","Mason Tipton",NO,"WR109","3 out of 5 stars","3 out of 5 stars","-"
"338","Aidan O'Connell",LV,"QB40","3 out of 5 stars","4 out of 5 stars","-81"
"339","Dawson Knox",BUF,"TE37","3 out of 5 stars","3 out of 5 stars","-60"
"340","Malik Washington",MIA,"WR110","3 out of 5 stars","3 out of 5 stars","-42"
"341","Mack Hollins",BUF,"WR111","3 out of 5 stars","2 out of 5 stars","-"
"342","Cody Schrader",LAR,"RB100","5 out of 5 stars","3 out of 5 stars","-"
"343","Dyami Brown",WAS,"WR112","2 out of 5 stars","3 out of 5 stars","-100"
"344","Tyler Higbee",LAR,"TE38","2 out of 5 stars","2 out of 5 stars","-"
"345","KaVontae Turpin",DAL,"WR113","2 out of 5 stars","2 out of 5 stars","-"
"346","Joshua Karty",LAR,"K26","5 out of 5 stars","4 out of 5 stars","-56"
"347","Craig Reynolds",DET,"RB101","3 out of 5 stars","5 out of 5 stars","-"
"348","Isaiah Davis",NYJ,"RB102","4 out of 5 stars","3 out of 5 stars","-"
"349","Tommy Tremble",CAR,"TE39","2 out of 5 stars","3 out of 5 stars","-"
"350","Jacksonville Jaguars",JAC,"DST30","4 out of 5 stars","5 out of 5 stars","-13"
"351","Grant Calcaterra",PHI,"TE40","4 out of 5 stars","4 out of 5 stars","-"
"352","Dustin Hopkins",CLE,"K27","2 out of 5 stars","3 out of 5 stars","-63"
"353","Tennessee Titans",TEN,"DST31","1 out of 5 stars","2 out of 5 stars","-67"
"354","Cam Little",JAC,"K28","5 out of 5 stars","5 out of 5 stars","-63"
"355","Brenton Strange",JAC,"TE41","3 out of 5 stars","3 out of 5 stars","-"
"356","Joey Slye",NE,"K29","4 out of 5 stars","2 out of 5 stars","-"
"357","Nick Folk",TEN,"K30","2 out of 5 stars","4 out of 5 stars","-"
"358","Johnny Mundt",MIN,"TE42","3 out of 5 stars","4 out of 5 stars","-"
